category,model_yaml,model_params,failure_reason
classify,/home/build/huzhaoyang/PaddleClas/configs/DeiT/DeiT_base_distilled_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/DeiT_base_distilled_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/DeiT/DeiT_base_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/DeiT_base_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/DeiT/DeiT_small_distilled_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/DeiT_small_distilled_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/DeiT/DeiT_small_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/DeiT_small_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/DeiT/DeiT_tiny_distilled_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/DeiT_tiny_distilled_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/DeiT/DeiT_tiny_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/DeiT_tiny_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/VisionTransformer/ViT_base_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/ViT_base_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/VisionTransformer/ViT_large_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/ViT_large_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/VisionTransformer/ViT_small_patch16_224.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/ViT_small_patch16_224_pretrained.pdparams,unexecutable
classify,/home/build/huzhaoyang/PaddleClas/configs/MobileNetV3/MobileNetV3_small_x0_75.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/MobileNetV3_small_x0_75_pretrained.pdparams,inaccurate
classify,/home/build/huzhaoyang/PaddleClas/configs/SENet/SE_ResNeXt50_32x4d.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/SE_ResNeXt50_32x4d_pretrained.pdparams,inaccurate
classify,/home/build/huzhaoyang/PaddleClas/configs/quick_start/new_user/ShuffleNetV2_x0_25.yaml,https://paddle-imagenet-models-name.bj.bcebos.com/dygraph/ShuffleNetV2_x0_25_pretrained.pdparams,inaccurate
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/ann/ann_resnet101_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/ann_resnet101_os8_cityscapes_1024x512_80k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/ann/ann_resnet101_os8_voc12aug_512x512_40k.yml,https://bj.bcebos.com/paddleseg/dygraph/pascal_voc12/ann_resnet101_os8_voc12aug_512x512_40k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/ann/ann_resnet50_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/ann_resnet50_os8_cityscapes_1024x512_80k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/ann/ann_resnet50_os8_voc12aug_512x512_40k.yml,https://bj.bcebos.com/paddleseg/dygraph/pascal_voc12/ann_resnet50_os8_voc12aug_512x512_40k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/deeplabv3p/deeplabv3p_resnet101_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/deeplabv3p_resnet101_os8_cityscapes_1024x512_80k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/gcnet/gcnet_resnet101_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/gcnet_resnet101_os8_cityscapes_1024x512_80k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/gcnet/gcnet_resnet101_os8_voc12aug_512x512_40k.yml,https://bj.bcebos.com/paddleseg/dygraph/pascal_voc12/gcnet_resnet101_os8_voc12aug_512x512_40k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/gcnet/gcnet_resnet50_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/gcnet_resnet50_os8_cityscapes_1024x512_80k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/gcnet/gcnet_resnet50_os8_voc12aug_512x512_40k.yml,https://bj.bcebos.com/paddleseg/dygraph/pascal_voc12/gcnet_resnet50_os8_voc12aug_512x512_40k/model.pdparams,unexecutable
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/bisenet/bisenet_cityscapes_1024x1024_160k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/bisenet_cityscapes_1024x1024_160k/model.pdparams,inaccurate
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/deeplabv3p/deeplabv3p_resnet50_os8_cityscapes_1024x512_80k.yml,https://bj.bcebos.com/paddleseg/dygraph/cityscapes/deeplabv3p_resnet50_os8_cityscapes_1024x512_80k/model.pdparams,inaccurate
segmentation,/home/build/huzhaoyang/PaddleSeg/configs/pspnet/pspnet_resnet50_os8_voc12aug_512x512_40k.yml,https://bj.bcebos.com/paddleseg/dygraph/pascal_voc12/pspnet_resnet50_os8_voc12aug_512x512_40k/model.pdparams,inaccurate
detection,/home/build/huzhaoyang/PaddleDetection/configs/face_detection/blazeface_1000e.yml,https://paddledet.bj.bcebos.com/models/blazeface_1000e.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/face_detection/blazeface_fpn_ssh_1000e.yml,https://paddledet.bj.bcebos.com/models/blazeface_fpn_ssh_1000e.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/mot/deepsort/deepsort_pcb_pyramid_r101.yml,https://paddledet.bj.bcebos.com/models/mot/deepsort_pcb_pyramid_r101.pdparams,unexecutable
detection,/home/build/huzhaoyang/PaddleDetection/configs/pedestrian/pedestrian_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/pedestrian_yolov3_darknet.pdparams,unexecutable
